run_no,seed,train,dev,test
1,3907,1.0,0.7151898734177216,0.704954954954955
2,9315,1.0,0.7626582278481012,0.75
3,5102,0.5322314049586777,0.5886075949367089,0.4774774774774775
4,4195,0.9958677685950412,0.6867088607594937,0.6824324324324325
5,1438,0.5082644628099173,0.5664556962025317,0.5225225225225225
6,6,0.9991735537190084,0.7215189873417721,0.7252252252252253
7,9760,0.6347107438016529,0.6424050632911392,0.4617117117117117
8,1567,0.7900826446280992,0.6772151898734177,0.6599099099099099
9,4214,0.6652892561983471,0.6550632911392406,0.5608108108108109
10,6029,0.9983471074380166,0.7215189873417721,0.7184684684684685
11,8447,0.6330578512396694,0.6487341772151899,0.4954954954954955
12,651,0.6024793388429752,0.5569620253164557,0.5878378378378378
13,1713,0.6504132231404959,0.6170886075949367,0.545045045045045
14,5222,0.6090909090909091,0.6234177215189873,0.5045045045045045
15,3338,0.7355371900826446,0.6803797468354429,0.6081081081081081
16,5528,0.5190082644628099,0.5759493670886076,0.536036036036036
17,2788,0.9966942148760328,0.7120253164556962,0.7342342342342343
18,1609,0.6454545454545455,0.6487341772151899,0.4887387387387387
19,1027,0.8586776859504133,0.6740506329113924,0.7004504504504504
20,217,0.6206611570247934,0.6329113924050633,0.5315315315315315
