id,learning_rate,seed,train_acc,dev_acc,test_acc
0,0.08,42,0.6950413223140496,0.6455696202531646,0.5427927927927928
1,0.07,42,0.7966942148760331,0.6392405063291139,0.5180180180180181
2,0.06,42,0.7851239669421488,0.6613924050632911,0.5765765765765766
3,0.05,42,0.759504132231405,0.6265822784810127,0.5608108108108109
