id,learning_rate,num_train_epochs,seed,train_acc,dev_acc,test_acc
0.0,0.0001,3.0,42,0.4388429752066116,0.4367088607594937,0.4932432432432433
1.0,0.0001,5.0,42,0.6330578512396694,0.6550632911392406,0.4774774774774775
2.0,0.0001,10.0,42,0.5231404958677686,0.5664556962025317,0.4774774774774775
3.0,0.0001,20.0,42,0.6413223140495867,0.6392405063291139,0.5045045045045045
4.0,0.0001,30.0,42,0.6619834710743802,0.6455696202531646,0.5405405405405406
5.0,9e-05,3.0,42,0.5247933884297521,0.5537974683544303,0.472972972972973
6.0,9e-05,5.0,42,0.4471074380165289,0.4746835443037974,0.4504504504504505
7.0,9e-05,10.0,42,0.571900826446281,0.5854430379746836,0.509009009009009
8.0,9e-05,20.0,42,0.656198347107438,0.6677215189873418,0.536036036036036
9.0,9e-05,30.0,42,1.0,0.6708860759493671,0.6734234234234234
10.0,8e-05,3.0,42,0.587603305785124,0.6487341772151899,0.4707207207207208
11.0,8e-05,5.0,42,0.5099173553719009,0.4810126582278481,0.5315315315315315
12.0,8e-05,10.0,42,0.6421487603305785,0.6392405063291139,0.4954954954954955
13.0,8e-05,20.0,42,0.6603305785123967,0.6392405063291139,0.5337837837837838
14.0,8e-05,30.0,42,0.996694214876033,0.7056962025316456,0.6869369369369369
15.0,7e-05,3.0,42,0.6024793388429752,0.6075949367088608,0.47297297297297297
16.0,7e-05,5.0,42,0.6611570247933884,0.6234177215189873,0.5247747747747747
17.0,7e-05,10.0,42,0.8570247933884297,0.6835443037974683,0.5675675675675675
18.0,7e-05,20.0,42,0.6173553719008265,0.6360759493670886,0.5045045045045045
19.0,7e-05,30.0,42,0.6462809917355372,0.6392405063291139,0.5067567567567568
20.0,6e-05,3.0,42,0.5504132231404959,0.5221518987341772,0.5225225225225225
21.0,6e-05,5.0,42,0.45289256198347105,0.4430379746835443,0.5045045045045045
22.0,6e-05,10.0,42,0.6991735537190082,0.6455696202531646,0.536036036036036
23.0,6e-05,20.0,42,1.0,0.6835443037974683,0.6644144144144144
24.0,6e-05,30.0,42,0.9661157024793389,0.7056962025316456,0.6193693693693694
25.0,5e-05,3.0,42,0.7950413223140496,0.6360759493670886,0.581081081081081
26.0,5e-05,5.0,42,0.5867768595041323,0.6170886075949367,0.5112612612612613
27.0,5e-05,10.0,42,0.8958677685950414,0.6867088607594937,0.5900900900900901
28.0,5e-05,20.0,42,0.971900826446281,0.6740506329113924,0.6216216216216216
29.0,5e-05,30.0,42,1.0,0.680379746835443,0.6936936936936937
14.0,8e-05,30.0,1824,0.815702479338843,0.6835443037974683,0.6058558558558559
24.0,5.9999999999999995e-05,30.0,1824,0.9958677685950413,0.680379746835443,0.704954954954955
14.0,8e-05,30.0,3745,0.784297520661157,0.6930379746835443,0.6531531531531531
24.0,5.9999999999999995e-05,30.0,3745,1.0,0.6677215189873418,0.6846846846846847
14.0,8e-05,30.0,3210,0.6371900826446281,0.6487341772151899,0.49774774774774777
24.0,5.9999999999999995e-05,30.0,3210,0.990909090909091,0.7088607594936709,0.6914414414414415
14.0,8e-05,30.0,3219,1.0,0.7246835443037974,0.7207207207207207
24.0,5.9999999999999995e-05,30.0,3219,1.0,0.6930379746835443,0.7004504504504504
14.0,8e-05,30.0,6857,1.0,0.6993670886075949,0.6644144144144144
24.0,5.9999999999999995e-05,30.0,6857,0.9991735537190083,0.7215189873417721,0.6779279279279279
